url,title,documentType,contentId,locale,publishing_app,first_published_at,public_updated_at,withdrawn_at,withdrawn_explanation,page_views,taxons,primary_organisation,all_organisations,government,is_political,people,occurrences
https://www.gov.uk/guidance/india-young-professionals-scheme-visa-ballot-system,India Young Professionals Scheme visa: ballot system,detailed_guide,0aa4c42b-bef1-491d-a039-27c8e3d9eae5,en,whitehall,2023-02-21T00:00:00.000Z,2026-02-17T09:00:02.000Z,,,97444,"Entering and staying in the UK,GOV.UK homepage,Visas and entry clearance,Visa applications",UK Visas and Immigration,UK Visas and Immigration,2022 to 2024 Sunak Conservative government,,,
https://www.gov.uk/standard-visitor/apply-standard-visitor-visa,Visit the UK as a Standard Visitor: Apply for a Standard Visitor visa,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,37076,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/standard-visitor,Visit the UK as a Standard Visitor,guide,e1067450-7d13-45ff-ada4-5e3dd4025fb7,en,publisher,2015-04-24T00:01:08.000Z,2024-10-31T17:00:17.702Z,,,36137,"Visas and entry clearance,Corporate information,Entering and staying in the UK,Visit and transit visas,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/get-a-child-passport/renew-a-child-passport,Get a passport for your child: Renew a child passport,guide,dabfc6b3-d88c-458f-a9fb-f286b987509b,en,publisher,2012-10-11T14:44:50.000Z,2014-12-23T16:15:15.000Z,,,27493,"Citizenship,GOV.UK homepage,Entering and staying in the UK,Permanent stay in the UK,Passports,Going and being abroad",Government Digital Service,HM Passport Office,,,,
https://www.gov.uk/get-a-child-passport/first-child-passport,Get a passport for your child: Apply for a first child passport,guide,dabfc6b3-d88c-458f-a9fb-f286b987509b,en,publisher,2012-10-11T14:44:50.000Z,2014-12-23T16:15:15.000Z,,,26833,"Citizenship,GOV.UK homepage,Entering and staying in the UK,Permanent stay in the UK,Passports,Going and being abroad",Government Digital Service,HM Passport Office,,,,
https://www.gov.uk/settled-status-eu-citizens-families/switch-from-presettled-status-to-settled-status,Apply to the EU Settlement Scheme (settled and pre-settled status): Convert pre-settled status to settled status,guide,91504a10-f697-42a3-a779-f238b4955ea9,en,publisher,2018-06-21T12:15:03.344Z,2024-10-31T17:00:11.987Z,,,18541,"Government,Rights of EU and EEA citizens,GOV.UK homepage,Help and services around the world,Brexit,Entering and staying in the UK,Rights of foreign nationals in the UK",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/settled-status-eu-citizens-families,Apply to the EU Settlement Scheme (settled and pre-settled status),guide,91504a10-f697-42a3-a779-f238b4955ea9,en,publisher,2018-06-21T12:15:03.344Z,2024-10-31T17:00:11.987Z,,,18221,"Government,Rights of EU and EEA citizens,GOV.UK homepage,Help and services around the world,Brexit,Entering and staying in the UK,Rights of foreign nationals in the UK",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/settled-status-eu-citizens-families/applying-for-settled-status,Apply to the EU Settlement Scheme (settled and pre-settled status): Apply to the EU Settlement Scheme,guide,91504a10-f697-42a3-a779-f238b4955ea9,en,publisher,2018-06-21T12:15:03.344Z,2024-10-31T17:00:11.987Z,,,16965,"Government,Rights of EU and EEA citizens,GOV.UK homepage,Help and services around the world,Brexit,Entering and staying in the UK,Rights of foreign nationals in the UK",Government Digital Service,"Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/skilled-worker-visa,Skilled Worker visa,guide,f9015c31-61c2-4504-8eb0-242cd75aee19,en,publisher,2014-02-07T17:07:29.000Z,2024-10-31T17:00:39.654Z,,,15629,"Entering and staying in the UK,Work and investor visas,Visas and entry clearance,GOV.UK homepage",Government Digital Service,UK Visas and Immigration,,,,
https://www.gov.uk/guidance/using-the-uk-eta-app,Using the 'UK ETA' app,detailed_guide,ada983d7-fa98-42db-b1ec-8d00d440708c,en,whitehall,2023-10-24T23:00:00.000Z,2025-11-17T15:29:40.000Z,,,14684,"Entering and staying in the UK,GOV.UK homepage,Visas and entry clearance",UK Visas and Immigration,UK Visas and Immigration,2022 to 2024 Sunak Conservative government,,,
