url,title,documentType,contentId,locale,publishing_app,first_published_at,public_updated_at,withdrawn_at,withdrawn_explanation,page_views,taxons,primary_organisation,all_organisations,government,is_political,people,occurrences
https://www.gov.uk/sign-in-childcare-account,Sign in to your childcare account,answer,7ae28e91-b918-4b9a-898c-fcdee95a83d0,en,publisher,2017-07-26T14:05:24.379Z,2024-11-12T09:31:53.394Z,,,203165,"Parenting, childcare and children's services ,GOV.UK homepage",Government Digital Service,"Department for Education,HM Revenue & Customs",,,,
https://www.gov.uk/tax-free-childcare,Tax-Free Childcare,guide,6e2a4012-2448-47fd-b7ec-a47396e4b114,en,publisher,2018-09-25T10:57:37.102Z,2024-11-08T18:10:18.810Z,,,78714,"GOV.UK homepage,Financial help if you have children,Financial support for childcare,Parenting, childcare and children's services ",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/tax-free-childcare/confirm-details,Tax-Free Childcare: Sign in to confirm your details are up to date and pay your provider,guide,6e2a4012-2448-47fd-b7ec-a47396e4b114,en,publisher,2018-09-25T10:57:37.102Z,2024-11-08T18:10:18.810Z,,,34000,"GOV.UK homepage,Financial help if you have children,Financial support for childcare,Parenting, childcare and children's services ",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/child-benefit/how-to-claim,Child Benefit: Make a claim,guide,aed2cee3-7ca8-4f00-ab17-9193fff516ae,en,publisher,2012-01-26T13:08:28.000Z,2024-11-22T11:57:33.937Z,,,31006,"Welfare,Child benefit,Parenting, childcare and children's services ,Child Benefit,GOV.UK homepage,Financial help if you have children",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/child-benefit,Child Benefit,guide,aed2cee3-7ca8-4f00-ab17-9193fff516ae,en,publisher,2012-01-26T13:08:28.000Z,2024-11-22T11:57:33.937Z,,,25451,"Welfare,Child benefit,Parenting, childcare and children's services ,Child Benefit,GOV.UK homepage,Financial help if you have children",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/help-with-childcare-costs,Help paying for childcare,guide,1a3d4b71-78dc-41b3-97c9-965405892d2e,en,publisher,2012-01-26T13:15:33.000Z,2015-03-24T16:22:50.000Z,,,16997,"Financial help if you have children,Having a child, parenting and adoption,Life circumstances,Parenting, childcare and children's services ,Welfare,Financial support for childcare,Benefits for families,GOV.UK homepage",Government Digital Service,"Department for Education,Department for Education and Skills,HM Revenue & Customs",,,,
https://www.gov.uk/free-childcare-if-working/apply-for-free-childcare-if-youre-working,Free Childcare for Working Parents: Apply for free childcare,guide,400ab081-84bd-4fbb-8c47-e599d0863232,en,publisher,2025-03-31T23:01:01.079Z,2025-03-31T23:01:00.907Z,,,14683,"GOV.UK homepage,Childcare and early years,Parenting, childcare and children's services ",Government Digital Service,"Department for Education,HM Revenue & Customs",,,,
https://www.gov.uk/free-childcare-if-working/check-youre-eligible,Free Childcare for Working Parents: Check if you're eligible,guide,400ab081-84bd-4fbb-8c47-e599d0863232,en,publisher,2025-03-31T23:01:01.079Z,2025-03-31T23:01:00.907Z,,,12358,"GOV.UK homepage,Childcare and early years,Parenting, childcare and children's services ",Government Digital Service,"Department for Education,HM Revenue & Customs",,,,
https://www.gov.uk/free-childcare-if-working,Free Childcare for Working Parents,guide,400ab081-84bd-4fbb-8c47-e599d0863232,en,publisher,2025-03-31T23:01:01.079Z,2025-03-31T23:01:00.907Z,,,12078,"GOV.UK homepage,Childcare and early years,Parenting, childcare and children's services ",Government Digital Service,"Department for Education,HM Revenue & Customs",,,,
https://www.gov.uk/child-benefit/what-youll-get,Child Benefit: What you'll get,guide,aed2cee3-7ca8-4f00-ab17-9193fff516ae,en,publisher,2012-01-26T13:08:28.000Z,2024-11-22T11:57:33.937Z,,,11830,"Welfare,Child benefit,Parenting, childcare and children's services ,Child Benefit,GOV.UK homepage,Financial help if you have children",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/child-benefit-tax-charge,High Income Child Benefit Charge,guide,65d2d5b2-22c4-4cfc-9399-9f7bcd145561,en,publisher,2013-08-19T17:46:36.000Z,2024-12-31T16:40:48.824Z,,,9709,"Money,Self Assessment,Welfare,Financial help if you have children,Personal tax,GOV.UK homepage,Child Benefit,Child benefit,High Income Tax Charge,Parenting, childcare and children's services ",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/maternity-pay-leave/pay,Maternity pay and leave: Pay,guide,24d6d3fc-ab41-456d-adc7-a265674b45cc,en,publisher,2013-03-12T12:22:49.000Z,2015-04-05T23:01:49.000Z,,,8966,"Pregnancy and birth,Financial help if you have children,Benefits for families,Working, jobs and pensions,Welfare,Financial help when having a baby,Holidays, time off, sick leave, maternity and paternity leave,Working and time off when you're having a baby,Parenting, childcare and children's services ,GOV.UK homepage,Adoption, fostering and surrogacy,Work",Government Digital Service,Department for Work and Pensions,,,,
https://www.gov.uk/disability-living-allowance-children,Disability Living Allowance (DLA) for children,guide,ee6607f1-d0ba-412b-b91c-7717286290ae,en,publisher,2013-06-10T08:17:40.000Z,2015-01-12T14:53:39.000Z,,,8893,"Benefits and financial help,Parenting, childcare and children's services ,Welfare,Health and social care,Financial help if you have children,Carers and disability benefits,GOV.UK homepage,Disabled people,Financial help if you have a disabled child",Government Digital Service,Department for Work and Pensions,,,,
https://www.gov.uk/sure-start-maternity-grant,Sure Start Maternity Grant,guide,5b4fb7fa-c986-496e-be54-e6d64ea218b8,en,publisher,2012-01-18T08:54:15.000Z,2015-01-12T15:06:41.000Z,,,8063,"Financial help when having a baby,Help and support if you have children,GOV.UK homepage,Having a child, parenting and adoption,Benefits for families,Marriage, civil partnership and divorce,Welfare,Life circumstances,Financial help if you have children,Parenting, childcare and children's services ",Government Digital Service,Department for Work and Pensions,,,,
https://www.gov.uk/child-benefit/eligibility,Child Benefit: Who can get Child Benefit,guide,aed2cee3-7ca8-4f00-ab17-9193fff516ae,en,publisher,2012-01-26T13:08:28.000Z,2024-11-22T11:57:33.937Z,,,6907,"Welfare,Child benefit,Parenting, childcare and children's services ,Child Benefit,GOV.UK homepage,Financial help if you have children",Government Digital Service,HM Revenue & Customs,,,,
https://www.gov.uk/free-childcare-if-working/when-to-apply,Free Childcare for Working Parents: When to apply,guide,400ab081-84bd-4fbb-8c47-e599d0863232,en,publisher,2025-03-31T23:01:01.079Z,2025-03-31T23:01:00.907Z,,,6231,"GOV.UK homepage,Childcare and early years,Parenting, childcare and children's services ",Government Digital Service,"Department for Education,HM Revenue & Customs",,,,
https://www.gov.uk/sure-start-maternity-grant/how-to-claim,Sure Start Maternity Grant: How to claim,guide,5b4fb7fa-c986-496e-be54-e6d64ea218b8,en,publisher,2012-01-18T08:54:15.000Z,2015-01-12T15:06:41.000Z,,,6151,"Financial help when having a baby,Help and support if you have children,GOV.UK homepage,Having a child, parenting and adoption,Benefits for families,Marriage, civil partnership and divorce,Welfare,Life circumstances,Financial help if you have children,Parenting, childcare and children's services ",Government Digital Service,Department for Work and Pensions,,,,
